laus_code,state_fips,county_fips,name,year,labor_force,employed,unemployment_level,unemployment_rate
,,,,,,,,
CN0100100000000,1,1,"Autauga County, AL",2018,"25,957","25,015",942,3.6
CN0100300000000,1,3,"Baldwin County, AL",2018,"93,849","90,456","3,393",3.6
CN0100500000000,1,5,"Barbour County, AL",2018,"8,373","7,940",433,5.2
CN0100700000000,1,7,"Bibb County, AL",2018,"8,661","8,317",344,4
CN0100900000000,1,9,"Blount County, AL",2018,"25,006","24,128",878,3.5
CN0101100000000,1,11,"Bullock County, AL",2018,"4,776","4,552",224,4.7
CN0101300000000,1,13,"Butler County, AL",2018,"8,914","8,487",427,4.8
CN0101500000000,1,15,"Calhoun County, AL",2018,"45,972","43,833","2,139",4.7
CN0101700000000,1,17,"Chambers County, AL",2018,"15,276","14,679",597,3.9
CN0101900000000,1,19,"Cherokee County, AL",2018,"11,622","11,207",415,3.6
CN0102100000000,1,21,"Chilton County, AL",2018,"19,476","18,773",703,3.6
CN0102300000000,1,23,"Choctaw County, AL",2018,"4,694","4,434",260,5.5
CN0102500000000,1,25,"Clarke County, AL",2018,"7,627","7,057",570,7.5
CN0102700000000,1,27,"Clay County, AL",2018,"5,963","5,730",233,3.9
CN0102900000000,1,29,"Cleburne County, AL",2018,"5,743","5,499",244,4.2
CN0103100000000,1,31,"Coffee County, AL",2018,"20,817","19,995",822,3.9
CN0103300000000,1,33,"Colbert County, AL",2018,"23,258","22,184","1,074",4.6
CN0103500000000,1,35,"Conecuh County, AL",2018,"4,494","4,259",235,5.2
CN0103700000000,1,37,"Coosa County, AL",2018,"4,376","4,193",183,4.2
CN0103900000000,1,39,"Covington County, AL",2018,"15,617","14,902",715,4.6
CN0104100000000,1,41,"Crenshaw County, AL",2018,"6,298","6,041",257,4.1
CN0104300000000,1,43,"Cullman County, AL",2018,"37,830","36,589","1,241",3.3
CN0104500000000,1,45,"Dale County, AL",2018,"20,120","19,274",846,4.2
CN0104700000000,1,47,"Dallas County, AL",2018,"14,860","13,887",973,6.5
CN0104900000000,1,49,"DeKalb County, AL",2018,"30,129","28,979","1,150",3.8
CN0105100000000,1,51,"Elmore County, AL",2018,"37,215","35,932","1,283",3.4
CN0105300000000,1,53,"Escambia County, AL",2018,"14,352","13,696",656,4.6
CN0105500000000,1,55,"Etowah County, AL",2018,"43,096","41,328","1,768",4.1
CN0105700000000,1,57,"Fayette County, AL",2018,"6,482","6,215",267,4.1
CN0105900000000,1,59,"Franklin County, AL",2018,"14,203","13,673",530,3.7
CN0106100000000,1,61,"Geneva County, AL",2018,"10,851","10,425",426,3.9
CN0106300000000,1,63,"Greene County, AL",2018,"2,838","2,647",191,6.7
CN0106500000000,1,65,"Hale County, AL",2018,"5,991","5,686",305,5.1
CN0106700000000,1,67,"Henry County, AL",2018,"6,766","6,466",300,4.4
CN0106900000000,1,69,"Houston County, AL",2018,"45,150","43,325","1,825",4
CN0107100000000,1,71,"Jackson County, AL",2018,"23,241","22,286",955,4.1
CN0107300000000,1,73,"Jefferson County, AL",2018,"314,014","302,359","11,655",3.7
CN0107500000000,1,75,"Lamar County, AL",2018,"5,721","5,503",218,3.8
CN0107700000000,1,77,"Lauderdale County, AL",2018,"42,141","40,375","1,766",4.2
CN0107900000000,1,79,"Lawrence County, AL",2018,"13,919","13,336",583,4.2
CN0108100000000,1,81,"Lee County, AL",2018,"74,654","71,951","2,703",3.6
CN0108300000000,1,83,"Limestone County, AL",2018,"42,393","40,890","1,503",3.5
CN0108500000000,1,85,"Lowndes County, AL",2018,"3,625","3,360",265,7.3
CN0108700000000,1,87,"Macon County, AL",2018,"7,816","7,389",427,5.5
CN0108900000000,1,89,"Madison County, AL",2018,"179,752","173,532","6,220",3.5
CN0109100000000,1,91,"Marengo County, AL",2018,"7,589","7,209",380,5
CN0109300000000,1,93,"Marion County, AL",2018,"12,549","12,036",513,4.1
CN0109500000000,1,95,"Marshall County, AL",2018,"42,598","41,157","1,441",3.4
CN0109700000000,1,97,"Mobile County, AL",2018,"187,406","178,608","8,798",4.7
CN0109900000000,1,99,"Monroe County, AL",2018,"7,158","6,716",442,6.2
CN0110100000000,1,101,"Montgomery County, AL",2018,"105,579","101,360","4,219",4
CN0110300000000,1,103,"Morgan County, AL",2018,"56,339","54,356","1,983",3.5
CN0110500000000,1,105,"Perry County, AL",2018,"3,397","3,175",222,6.5
CN0110700000000,1,107,"Pickens County, AL",2018,"7,805","7,449",356,4.6
CN0110900000000,1,109,"Pike County, AL",2018,"15,230","14,544",686,4.5
CN0111100000000,1,111,"Randolph County, AL",2018,"9,538","9,155",383,4
CN0111300000000,1,113,"Russell County, AL",2018,"23,753","22,798",955,4
CN0111500000000,1,115,"St. Clair County, AL",2018,"39,683","38,296","1,387",3.5
CN0111700000000,1,117,"Shelby County, AL",2018,"112,891","109,672","3,219",2.9
CN0111900000000,1,119,"Sumter County, AL",2018,"4,768","4,487",281,5.9
CN0112100000000,1,121,"Talladega County, AL",2018,"34,978","33,481","1,497",4.3
CN0112300000000,1,123,"Tallapoosa County, AL",2018,"17,772","17,028",744,4.2
CN0112500000000,1,125,"Tuscaloosa County, AL",2018,"101,569","97,855","3,714",3.7
CN0112700000000,1,127,"Walker County, AL",2018,"25,132","24,064","1,068",4.2
CN0112900000000,1,129,"Washington County, AL",2018,"6,667","6,278",389,5.8
CN0113100000000,1,131,"Wilcox County, AL",2018,"2,734","2,472",262,9.6
CN0113300000000,1,133,"Winston County, AL",2018,"9,781","9,371",410,4.2
CN0201300000000,2,13,"Aleutians East Borough, AK",2018,"2,321","2,252",69,3
CN0201600000000,2,16,"Aleutians West Census Area, AK",2018,"3,615","3,487",128,3.5
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",2018,"151,950","143,602","8,348",5.5
CN0205000000000,2,50,"Bethel Census Area, AK",2018,"7,400","6,455",945,12.8
CN0206000000000,2,60,"Bristol Bay Borough, AK",2018,441,413,28,6.3
CN0206800000000,2,68,"Denali Borough, AK",2018,"1,088","1,003",85,7.8
CN0207000000000,2,70,"Dillingham Census Area, AK",2018,"2,027","1,861",166,8.2
CN0209000000000,2,90,"Fairbanks North Star Borough, AK",2018,"46,101","43,426","2,675",5.8
CN0210000000000,2,100,"Haines Borough, AK",2018,"1,092",988,104,9.5
CN0210500000000,2,105,"Hoonah-Angoon Census Area, AK",2018,"1,158","1,012",146,12.6
CN0211000000000,2,110,"Juneau Borough/city, AK",2018,"17,232","16,470",762,4.4
CN0212200000000,2,122,"Kenai Peninsula Borough, AK",2018,"26,497","24,453","2,044",7.7
CN0213000000000,2,130,"Ketchikan Gateway Borough, AK",2018,"7,026","6,604",422,6
CN0215000000000,2,150,"Kodiak Island Borough, AK",2018,"6,210","5,848",362,5.8
CN0215800000000,2,158,"Kusilvak Census Area, AK",2018,"2,708","2,169",539,19.9
CN0216400000000,2,164,"Lake and Peninsula Borough, AK",2018,739,653,86,11.6
CN0217000000000,2,170,"Matanuska-Susitna Borough, AK",2018,"47,654","44,014","3,640",7.6
CN0218000000000,2,180,"Nome Census Area, AK",2018,"4,113","3,636",477,11.6
CN0218500000000,2,185,"North Slope Borough, AK",2018,"3,413","3,173",240,7
CN0218800000000,2,188,"Northwest Arctic Borough, AK",2018,"2,924","2,508",416,14.2
CN0219500000000,2,195,"Petersburg Borough, AK",2018,"1,404","1,282",122,8.7
CN0219800000000,2,198,"Prince of Wales-Hyder Census Area, AK",2018,"2,899","2,584",315,10.9
CN0222000000000,2,220,"Sitka Borough/city, AK",2018,"4,408","4,225",183,4.2
CN0223000000000,2,230,"Skagway Municipality, AK",2018,836,754,82,9.8
CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK",2018,"2,940","2,658",282,9.6
CN0226100000000,2,261,"Valdez-Cordova Census Area, AK",2018,"4,849","4,488",361,7.4
CN0227500000000,2,275,"Wrangell Borough/city, AK",2018,"1,051",977,74,7
CN0228200000000,2,282,"Yakutat Borough/city, AK",2018,245,225,20,8.2
CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK",2018,"2,545","2,156",389,15.3
CN0400100000000,4,1,"Apache County, AZ",2018,"20,665","18,585","2,080",10.1
CN0400300000000,4,3,"Cochise County, AZ",2018,"49,774","46,985","2,789",5.6
CN0400500000000,4,5,"Coconino County, AZ",2018,"77,083","72,850","4,233",5.5
CN0400700000000,4,7,"Gila County, AZ",2018,"21,518","20,251","1,267",5.9
CN0400900000000,4,9,"Graham County, AZ",2018,"14,878","14,114",764,5.1
CN0401100000000,4,11,"Greenlee County, AZ",2018,"4,280","4,098",182,4.3
CN0401200000000,4,12,"La Paz County, AZ",2018,"8,938","8,381",557,6.2
CN0401300000000,4,13,"Maricopa County, AZ",2018,"2,229,526","2,137,219","92,307",4.1
CN0401500000000,4,15,"Mohave County, AZ",2018,"85,442","80,508","4,934",5.8
CN0401700000000,4,17,"Navajo County, AZ",2018,"40,598","37,447","3,151",7.8
CN0401900000000,4,19,"Pima County, AZ",2018,"486,261","464,433","21,828",4.5
CN0402100000000,4,21,"Pinal County, AZ",2018,"178,216","169,264","8,952",5
CN0402300000000,4,23,"Santa Cruz County, AZ",2018,"19,325","17,522","1,803",9.3
CN0402500000000,4,25,"Yavapai County, AZ",2018,"105,618","100,899","4,719",4.5
CN0402700000000,4,27,"Yuma County, AZ",2018,"97,636","80,997","16,639",17
CN0500100000000,5,1,"Arkansas County, AR",2018,"9,070","8,762",308,3.4
CN0500300000000,5,3,"Ashley County, AR",2018,"7,683","7,263",420,5.5
CN0500500000000,5,5,"Baxter County, AR",2018,"16,463","15,785",678,4.1
CN0500700000000,5,7,"Benton County, AR",2018,"134,404","130,532","3,872",2.9
CN0500900000000,5,9,"Boone County, AR",2018,"15,856","15,295",561,3.5
CN0501100000000,5,11,"Bradley County, AR",2018,"4,362","4,166",196,4.5
CN0501300000000,5,13,"Calhoun County, AR",2018,"2,404","2,310",94,3.9
CN0501500000000,5,15,"Carroll County, AR",2018,"12,639","12,233",406,3.2
CN0501700000000,5,17,"Chicot County, AR",2018,"3,340","3,110",230,6.9
CN0501900000000,5,19,"Clark County, AR",2018,"9,580","9,214",366,3.8
CN0502100000000,5,21,"Clay County, AR",2018,"5,835","5,579",256,4.4
CN0502300000000,5,23,"Cleburne County, AR",2018,"9,174","8,758",416,4.5
CN0502500000000,5,25,"Cleveland County, AR",2018,"3,302","3,173",129,3.9
